x_m,y_m
-1.749825461244051112e+06,-3.969249296988856513e+05
-1.750700104622824350e+06,-3.961753369486334268e+05
-1.751200092650808860e+06,-3.941750482464133529e+05
-1.750950114113707561e+06,-3.928000977746400167e+05
-1.751324981474074768e+06,-3.917997459375247126e+05
-1.751074182287405478e+06,-3.904246542321039597e+05
-1.751324913646461908e+06,-3.877994419732188690e+05
-1.750950681668496924e+06,-3.864253660408500582e+05
-1.751324906148344278e+06,-3.835498113919795142e+05
-1.752200274790206226e+06,-3.813000619334923686e+05
-1.752200381659232546e+06,-3.800491041081160656e+05
-1.751823728999447310e+06,-3.793001880361632793e+05
-1.752200003913415363e+06,-3.775501222081673332e+05
-1.751825307791288942e+06,-3.769245894731754088e+05
-1.751825126007350627e+06,-3.743001546381796361e+05
-1.751449644694862654e+06,-3.737995228887638077e+05
